method,patch_number,patch_name,delta_e00
Fixed WB,1,Dark Skin,11.666531479324359
Fixed WB,2,Light Skin,11.833418543260368
Fixed WB,3,Blue Sky,13.353642186136375
Fixed WB,4,Foliage,13.416223555727433
Fixed WB,5,Blue Flower,12.950760157962895
Fixed WB,6,Bluish Green,10.548415503476184
Fixed WB,7,Orange,6.606115551889034
Fixed WB,8,Purplish Blue,9.71998325074713
Fixed WB,9,Moderate Red,13.188447280303281
Fixed WB,10,Purple,9.939173468727702
Fixed WB,11,Yellow Green,12.047650284126062
Fixed WB,12,Orange Yellow,6.3567742001841285
Fixed WB,13,Blue,9.065474443262072
Fixed WB,14,Green,11.80842077284198
Fixed WB,15,Red,8.909565761410287
Fixed WB,16,Yellow,9.339299402755907
Fixed WB,17,Magenta,7.087612729871745
Fixed WB,18,Cyan,16.3219416665811
Fixed WB,19,White,17.827885261830218
Fixed WB,20,Neutral 8,15.633299049449455
Fixed WB,21,Neutral 6.5,15.906571258736705
Fixed WB,22,Neutral 5,16.762786813467528
Fixed WB,23,Neutral 3.5,14.163186390389187
Fixed WB,24,Black,9.679403662767754
Norm2 AWB,1,Dark Skin,11.842234900225428
Norm2 AWB,2,Light Skin,11.361438612936979
Norm2 AWB,3,Blue Sky,13.337587529487056
Norm2 AWB,4,Foliage,11.823701597392919
Norm2 AWB,5,Blue Flower,11.553121750465305
Norm2 AWB,6,Bluish Green,14.18880174176936
Norm2 AWB,7,Orange,7.574000190010762
Norm2 AWB,8,Purplish Blue,10.273393818750227
Norm2 AWB,9,Moderate Red,11.191569584860899
Norm2 AWB,10,Purple,9.37857745751278
Norm2 AWB,11,Yellow Green,9.319515989220893
Norm2 AWB,12,Orange Yellow,8.320994347282001
Norm2 AWB,13,Blue,9.630372033665378
Norm2 AWB,14,Green,12.906747483476819
Norm2 AWB,15,Red,9.152870211791893
Norm2 AWB,16,Yellow,9.21856274937915
Norm2 AWB,17,Magenta,6.204870667118422
Norm2 AWB,18,Cyan,17.992696237087248
Norm2 AWB,19,White,16.875323058578
Norm2 AWB,20,Neutral 8,14.465433301718143
Norm2 AWB,21,Neutral 6.5,13.425002525245139
Norm2 AWB,22,Neutral 5,13.8356262458375
Norm2 AWB,23,Neutral 3.5,12.48196858315294
Norm2 AWB,24,Black,8.924828412940855
Gray World,1,Dark Skin,11.86135967946013
Gray World,2,Light Skin,11.508656389448106
Gray World,3,Blue Sky,13.32780647102696
Gray World,4,Foliage,11.72127317289247
Gray World,5,Blue Flower,11.653759694567592
Gray World,6,Bluish Green,14.860249505281537
Gray World,7,Orange,7.697150054034799
Gray World,8,Purplish Blue,10.275920613613371
Gray World,9,Moderate Red,10.844501689378768
Gray World,10,Purple,9.425430136912674
Gray World,11,Yellow Green,9.187819083079745
Gray World,12,Orange Yellow,8.508423447979679
Gray World,13,Blue,9.680350437528459
Gray World,14,Green,12.974696516268443
Gray World,15,Red,9.067093828789982
Gray World,16,Yellow,9.375686336392127
Gray World,17,Magenta,6.02849117607395
Gray World,18,Cyan,18.257296004423292
Gray World,19,White,17.598429681513085
Gray World,20,Neutral 8,15.126265258604944
Gray World,21,Neutral 6.5,14.216198449710404
Gray World,22,Neutral 5,14.415512503606486
Gray World,23,Neutral 3.5,12.885214712376214
Gray World,24,Black,9.126410357393992
PCA AWB,1,Dark Skin,11.894150178853307
PCA AWB,2,Light Skin,11.366045679593743
PCA AWB,3,Blue Sky,13.326169491961537
PCA AWB,4,Foliage,12.19068916915349
PCA AWB,5,Blue Flower,11.240546052747128
PCA AWB,6,Bluish Green,12.140778821087709
PCA AWB,7,Orange,7.185967261463743
PCA AWB,8,Purplish Blue,10.092181331079162
PCA AWB,9,Moderate Red,12.362237182708517
PCA AWB,10,Purple,9.377598631508244
PCA AWB,11,Yellow Green,9.65773014553276
PCA AWB,12,Orange Yellow,7.544672952091906
PCA AWB,13,Blue,9.435146987478182
PCA AWB,14,Green,12.63870439100826
PCA AWB,15,Red,9.327664153917087
PCA AWB,16,Yellow,8.807035714692386
PCA AWB,17,Magenta,6.939186911289935
PCA AWB,18,Cyan,17.043063020119376
PCA AWB,19,White,15.120478990244417
PCA AWB,20,Neutral 8,12.636073347353667
PCA AWB,21,Neutral 6.5,11.672488625165899
PCA AWB,22,Neutral 5,12.726481421479175
PCA AWB,23,Neutral 3.5,11.667823014599824
PCA AWB,24,Black,8.686454976863702
